玉虫</b> ◆lnWmmDoCR.<b><><>2010/09/26(日) 12:24:58.56 ID:bwzwHXw0<>【旅の概要】<br>期間：2010年9月12日～9月19日<br>ルート：東京～大阪～尾道～今治～徳島(フェリーで東京に帰還)<br><br>玉虫：男、大学生、今年3月にスノボで半月板を痛め手術<br>車種：ロードバイク(あずにゃん号)、08 Cannondale System6<br><br>【過去ログ・画像・動画集】<br>過去ログ：<br>dat版：ttp://www1.axfc.net/uploader/Sc/so/155091<br>html版：ttp://www1.axfc.net/uploader/Sc/so/155093<br><br>PASS:tamamusinyan<br>datなにそれ？な人はhtmlを落としてね！index.htmlで上から順になってるはずだから<br>※パー速のログは含みません <br><br>旅掲示板：※シロロさんありがとう！<br>ttp://tabi.shiroro.com/10/tamamushi/<br><br>画像集(＠ピカサ)：<br>ttp://picasaweb.google.co.jp/106482100541094568365/QsXwxG#<br><br>ニコニコ動画：<br>1.涼しくなったから自転車で旅行してみた～準備編～<br>ttp://www.nicovideo.jp/watch/sm12181037<br>2.涼しくなったから自転車で旅行してみた～1日目～<br>ttp://www.nicovideo.jp/watch/sm12190163<br>3.涼しくなったから自転車で旅行してみた～2日目～<br>ttp://www.nicovideo.jp/watch/sm12201381<br>4.涼しくなったから自転車で旅行してみた～3日目～<br>ttp://www.nicovideo.jp/watch/sm12225639<br><br>Youtube：※YoutubeはHD画質でうｐしてます！<br>1.涼しくなったから自転車で旅行してみた～準備編～<br>ttp://www.youtube.com/watch?v=lCbsWp7XfMg <br>2.涼しくなったから自転車で旅行してみた～1日目～<br>ttp://www.youtube.com/watch?v=ajeUHNgbNf0<br>3.涼しくなったから自転車で旅行してみた～2日目～<br>ttp://www.youtube.com/watch?v=WxdswkbTGJc<br>4.涼しくなったから自転車で旅行してみた～3日目～<br>ttp://www.youtube.com/watch?v=qanH0kUW8Fc <>【玉虫×あずにゃん】涼しくなったから自転車で旅行してみた【無事帰還】
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/08(土) 00:12:12.02 ID:yznd9EAO<>おはよう<br><br><br><br><br><br><br><br><br>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/08(土) 00:46:47.98 ID:j7QvYsDO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/08(土) 07:49:07.60 ID:yznd9EAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/08(土) 22:35:36.57 ID:n1OEecIo<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/08(土) 23:43:26.39 ID:yznd9EAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/09(日) 06:47:48.48 ID:Q5E.utIo<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/09(日) 08:16:51.43 ID:0cTXhsAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/09(日) 23:25:31.14 ID:j3rEKE2AO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/10(月) 02:23:44.65 ID:eevHRLdwo<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/10(月) 07:49:09.83 ID:FlP0zRcAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/10(月) 23:08:29.36 ID:FlP0zRcAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/10(月) 23:09:23.54 ID:/N8sfyaIo<>おやすー<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/11(火) 01:04:10.71 ID:QPRLi9HVo<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/11(火) 01:07:59.17 ID:O6VDRkQDO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/11(火) 08:03:14.04 ID:jEnDUD2AO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/12(水) 00:06:28.04 ID:CMTwNfaAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/12(水) 01:25:02.25 ID:AMIdchmDO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/12(水) 01:32:04.03 ID:UCaLXzfr0<>ぉやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/12(水) 06:25:14.00 ID:AMIdchmDO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/12(水) 07:58:16.96 ID:CMTwNfaAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/12(水) 23:25:57.17 ID:CMTwNfaAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/12(水) 23:44:09.11 ID:AMIdchmDO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/13(木) 06:31:50.74 ID:I+CAJG0DO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/13(木) 08:04:26.46 ID:cB/fvjVAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/13(木) 23:25:19.38 ID:cB/fvjVAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/13(木) 23:58:34.95 ID:I+CAJG0DO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/14(金) 06:18:42.74 ID:OgTWuusDO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/14(金) 07:55:33.75 ID:o9qwZpEAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/14(金) 22:54:17.63 ID:o9qwZpEAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/14(金) 23:57:58.94 ID:Ug0LbVMXo<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/15(土) 07:38:42.11 ID:fv+wBb5AO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/15(土) 22:59:58.15 ID:fv+wBb5AO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/15(土) 23:51:22.21 ID:PMje19iKo<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/16(日) 06:25:29.38 ID:VWijSU5+o<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/16(日) 07:26:57.18 ID:pJQoZyeAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/16(日) 23:33:38.20 ID:pJQoZyeAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/16(日) 23:34:32.34 ID:RwVRN+CFo<>おやっすめ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/17(月) 01:37:04.39 ID:RG60p91Co<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/17(月) 06:26:39.94 ID:RG60p91Co<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/17(月) 07:53:21.70 ID:XZg9nkKB0<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/17(月) 08:16:37.18 ID:SP/XMlqAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/17(月) 22:58:49.63 ID:SP/XMlqAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/18(火) 02:08:45.98 ID:h1lRn8Hmo<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/18(火) 06:09:41.80 ID:h1lRn8Hmo<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/18(火) 08:20:20.27 ID:d3ZBtonAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/19(水) 01:28:25.34 ID:vMZzrYx9o<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/19(水) 01:34:34.72 ID:jb9NUHbAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/19(水) 06:38:52.04 ID:vMZzrYx9o<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/19(水) 07:46:59.51 ID:jb9NUHbAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/19(水) 23:13:18.55 ID:jb9NUHbAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/20(木) 01:30:44.64 ID:DK//7YO6o<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/20(木) 06:22:57.45 ID:DK//7YO6o<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/20(木) 08:01:31.53 ID:OQQUPyMAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/20(木) 23:09:43.50 ID:OQQUPyMAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/21(金) 01:51:08.58 ID:+GhLeEOCo<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/21(金) 05:58:01.49 ID:+GhLeEOCo<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/21(金) 07:51:41.91 ID:zBwnMfmAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/21(金) 23:19:13.31 ID:zBwnMfmAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/22(土) 00:57:33.42 ID:l41pri/ko<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/22(土) 06:29:21.53 ID:l41pri/ko<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/22(土) 07:39:38.83 ID:oWA0+OFAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/22(土) 23:25:32.12 ID:oWA0+OFAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/23(日) 02:28:21.55 ID:+i/c7AEKo<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/23(日) 06:48:31.56 ID:+i/c7AEKo<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/23(日) 07:27:37.38 ID:RHTT6fPAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/23(日) 23:40:00.68 ID:RHTT6fPAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/24(月) 01:35:21.83 ID:t9zCjNfjo<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/24(月) 06:31:12.39 ID:t9zCjNfjo<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/24(月) 08:10:12.02 ID:iKFhKiyAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/24(月) 23:26:53.79 ID:iKFhKiyAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/25(火) 00:23:35.14 ID:GDUU/L3ao<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/25(火) 06:10:19.73 ID:GDUU/L3ao<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/25(火) 07:50:47.58 ID:x+8bdbWAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/25(火) 23:14:41.89 ID:x+8bdbWAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/26(水) 01:38:35.69 ID:A46SX1P/o<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/26(水) 06:30:32.19 ID:A46SX1P/o<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/26(水) 07:57:26.16 ID:HJDDs3oAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/26(水) 23:24:29.98 ID:HJDDs3oAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/27(木) 01:53:29.65 ID:FvSKXsmYo<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/27(木) 06:35:35.82 ID:FvSKXsmYo<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/27(木) 07:58:23.37 ID:t+XxQ6IAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/27(木) 23:33:04.90 ID:t+XxQ6IAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/28(金) 01:56:36.86 ID:qv0kA7VDo<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/28(金) 07:55:19.24 ID:awNvJULAO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/28(金) 23:37:41.65 ID:awNvJULAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/29(土) 02:04:01.68 ID:fv9x9Nx5o<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/29(土) 08:06:30.64 ID:0vhSKU5AO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/29(土) 23:10:17.43 ID:0vhSKU5AO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/30(日) 00:36:48.14 ID:t7dk4ZFco<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/30(日) 06:35:40.19 ID:t7dk4ZFco<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/30(日) 07:27:18.82 ID:CgEDyTEAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/30(日) 23:22:05.57 ID:CgEDyTEAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/31(月) 01:05:35.95 ID:G+1W+S+Lo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/31(月) 06:48:44.55 ID:e/wjq9PDO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/31(月) 08:15:37.57 ID:nw02ZJCAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/31(月) 23:30:45.39 ID:nw02ZJCAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/01/31(月) 23:50:35.69 ID:sumlgmVV0<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/01(火) 02:12:49.23 ID:jYWtb3S/o<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/01(火) 05:59:29.32 ID:jYWtb3S/o<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/01(火) 07:37:24.26 ID:eVgGNMjAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/01(火) 22:58:15.65 ID:eVgGNMjAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/02(水) 01:56:48.54 ID:6YC90Aeio<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/02(水) 06:30:59.12 ID:6YC90Aeio<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/02(水) 08:00:46.18 ID:pcRuIsoAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/02(水) 08:01:36.42 ID:pcRuIsoAO<> 違う！ <br> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/02(水) 21:39:58.89 ID:pcRuIsoAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/03(木) 01:58:45.48 ID:e+Af94zJo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/03(木) 08:16:58.52 ID:EUrW0zDAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/03(木) 23:20:18.17 ID:EUrW0zDAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/04(金) 01:59:08.21 ID:TaAFwaYzo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/04(金) 06:36:42.64 ID:TaAFwaYzo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/04(金) 08:31:58.04 ID:WgzpMJWAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/04(金) 23:10:41.29 ID:TaAFwaYzo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/04(金) 23:20:55.59 ID:WgzpMJWAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/05(土) 07:58:21.82 ID:wdUMmH9AO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/05(土) 17:06:39.12 ID:2t1Qe/hm0<> お前らまだやってたのかｗｗ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/05(土) 23:11:53.18 ID:qgtkIJlno<> なんとなく‥。 <br>  <br> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/05(土) 23:46:39.36 ID:wdUMmH9AO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/06(日) 07:03:59.42 ID:3W7j7Y9AO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/06(日) 23:41:15.99 ID:3W7j7Y9AO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/07(月) 01:38:57.46 ID:gmL0gUhDO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/07(月) 06:38:05.19 ID:anSuHHleo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/07(月) 08:17:20.45 ID:reB1w/gAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/07(月) 23:23:57.60 ID:reB1w/gAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/08(火) 01:09:01.55 ID:RBWt/OR+o<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/08(火) 06:29:04.05 ID:RBWt/OR+o<> おはよう <br>  <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/08(火) 08:05:50.14 ID:hNdj1vlAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/08(火) 23:00:48.54 ID:hNdj1vlAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/09(水) 02:08:16.40 ID:5oTT4EOQo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/09(水) 06:39:02.72 ID:5oTT4EOQo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/09(水) 08:16:31.94 ID:2zK4RCvAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/09(水) 23:31:19.74 ID:2zK4RCvAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/10(木) 02:01:04.78 ID:QMX1Eve0o<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/10(木) 07:53:48.18 ID:vo3+2dPAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/10(木) 23:06:03.71 ID:vo3+2dPAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/11(金) 02:00:36.42 ID:qBM3Lcfgo<>  <br>  <br> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/11(金) 06:28:37.38 ID:qBM3Lcfgo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/11(金) 07:46:31.60 ID:q8haq6AAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/11(金) 22:57:29.59 ID:q8haq6AAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/12(土) 00:25:04.38 ID:kNJ1avKr0<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/12(土) 02:05:15.90 ID:YnsyN4KMo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/12(土) 06:39:05.50 ID:YnsyN4KMo<> おはよう <br>  <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/12(土) 08:16:28.26 ID:L1oKaKWAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/12(土) 22:48:02.43 ID:YnsyN4KMo<> おやすみ <br>  <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/13(日) 08:32:56.39 ID:t1w7mga+o<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/14(月) 00:40:52.53 ID:N5AK/BCAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/14(月) 01:08:06.63 ID:4ZFKyCNwo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/14(月) 06:33:38.98 ID:4ZFKyCNwo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/14(月) 08:45:47.69 ID:N5AK/BCAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/15(火) 01:07:12.91 ID:xTA2nrYto<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/15(火) 06:45:00.56 ID:xTA2nrYto<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/17(木) 02:00:47.87 ID:j16MXgoIo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/18(金) 01:55:14.12 ID:YUGfwseOo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/18(金) 06:39:55.77 ID:YUGfwseOo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/19(土) 02:20:28.62 ID:lfFoprxPo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/19(土) 08:11:55.56 ID:ZZWeFDCAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/19(土) 23:27:38.08 ID:tJwWOfvDO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/20(日) 00:05:53.39 ID:5eZM7m+AO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/20(日) 02:11:07.10 ID:Za4MGL+7o<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/20(日) 07:38:52.97 ID:Za4MGL+7o<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/20(日) 07:47:51.02 ID:5eZM7m+AO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/20(日) 23:50:24.07 ID:HTPVUfhDO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/21(月) 01:07:07.75 ID:1nQ1juPpo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/21(月) 06:29:58.06 ID:1nQ1juPpo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/21(月) 07:56:45.25 ID:I04vonsAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/21(月) 23:19:33.24 ID:I04vonsAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/21(月) 23:54:59.24 ID:+oewwxjDO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/22(火) 00:58:02.46 ID:hlkXqJ7Yo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/22(火) 07:46:31.68 ID:N71mLQEAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/22(火) 23:19:30.25 ID:N71mLQEAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/23(水) 02:18:51.72 ID:70+8OOPbo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/23(水) 06:46:56.35 ID:70+8OOPbo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/23(水) 07:47:08.91 ID:aNrDsAsAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/23(水) 23:13:14.64 ID:aNrDsAsAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/24(木) 00:00:19.10 ID:cXNWxa0DO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/24(木) 02:03:28.14 ID:sFoe9hKuo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/24(木) 06:33:23.56 ID:sFoe9hKuo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/24(木) 07:46:55.97 ID:sxOylTpAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/24(木) 23:35:21.56 ID:cXNWxa0DO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/25(金) 02:12:16.34 ID:dD+yJuyro<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/25(金) 06:39:05.81 ID:dD+yJuyro<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/25(金) 07:55:10.90 ID:VDNLAJnAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/25(金) 22:31:21.95 ID:VDNLAJnAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/26(土) 02:03:19.94 ID:AIAvAtCVo<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/26(土) 06:30:47.70 ID:AIAvAtCVo<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/26(土) 07:19:16.09 ID:w3+KwGrAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/26(土) 23:40:29.88 ID:rV+AYD7DO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/27(日) 07:26:51.74 ID:fs7jnjpAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/27(日) 23:11:03.50 ID:fs7jnjpAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/28(月) 00:18:19.56 ID:1wuudr6po<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/28(月) 06:29:52.87 ID:1wuudr6po<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/28(月) 08:02:16.91 ID:3WTetPIAO<> おはよう <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/02/28(月) 23:06:38.93 ID:3WTetPIAO<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/01(火) 00:36:06.80 ID:/lrLjA5j0<> おやすみ <>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2011/03/01(火) 01:13:02.38 ID:ipergLTIo<> おやすみ <>
